#separator:tab
#html:false
#tags column:3
escalar montañas	to mountain climb	Contrasena::lessons::u7_v1 Contrasena::sections::las_actividades_y_los_deportes	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_2.mp3
esquiar	to ski	Contrasena::lessons::u7_v1 Contrasena::sections::las_actividades_y_los_deportes	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_3.mp3
montar a caballo	to ride horseback	Contrasena::lessons::u7_v1 Contrasena::sections::las_actividades_y_los_deportes	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_4.mp3
nadar	to swim	Contrasena::lessons::u7_v1 Contrasena::sections::las_actividades_y_los_deportes	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_5.mp3
pasear en bicicleta	to ride a bike	Contrasena::lessons::u7_v1 Contrasena::sections::las_actividades_y_los_deportes	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_6.mp3
patinar / patina en línea / patinar sobre hielo	to skate / to rollerblade, to in-line skate / to ice-skate	Contrasena::lessons::u7_v1 Contrasena::sections::las_actividades_y_los_deportes	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_7.mp3
el básquetbol	basketball	Contrasena::lessons::u7_v1 Contrasena::sections::jugar_u_ue_al	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_9.mp3
el béisbol	baseball	Contrasena::lessons::u7_v1 Contrasena::sections::jugar_u_ue_al	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_10.mp3
el fútbol	soccer	Contrasena::lessons::u7_v1 Contrasena::sections::jugar_u_ue_al	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_11.mp3
el fútbol americano	American football	Contrasena::lessons::u7_v1 Contrasena::sections::jugar_u_ue_al	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_12.mp3
el golf	golf	Contrasena::lessons::u7_v1 Contrasena::sections::jugar_u_ue_al	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_13.mp3
el hockey	hockey	Contrasena::lessons::u7_v1 Contrasena::sections::jugar_u_ue_al	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_14.mp3
el tenis	tennis	Contrasena::lessons::u7_v1 Contrasena::sections::jugar_u_ue_al	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_15.mp3
el vóleibol	volleyball	Contrasena::lessons::u7_v1 Contrasena::sections::jugar_u_ue_al	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_16.mp3
la caminata	walking/hiking	Contrasena::lessons::u7_v1 Contrasena::sections::practicar_hacer	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_18.mp3
el ciclismo	cycling	Contrasena::lessons::u7_v1 Contrasena::sections::practicar_hacer	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_19.mp3
el esquí acuático	water skiing	Contrasena::lessons::u7_v1 Contrasena::sections::practicar_hacer	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_20.mp3
la natación	swimming	Contrasena::lessons::u7_v1 Contrasena::sections::practicar_hacer	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_21.mp3
el surf	surfing	Contrasena::lessons::u7_v1 Contrasena::sections::practicar_hacer	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_22.mp3
el yoga	yoga	Contrasena::lessons::u7_v1 Contrasena::sections::practicar_hacer	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_23.mp3
empatar	to tie	Contrasena::lessons::u7_v1 Contrasena::sections::los_resultados	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_25.mp3
ganar	to win	Contrasena::lessons::u7_v1 Contrasena::sections::los_resultados	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_26.mp3
perder (e>ie)	to lose	Contrasena::lessons::u7_v1 Contrasena::sections::los_resultados	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_27.mp3
el aficionado / la aficionada / ser un aficionado / ser una aficionada	sports fan / to be a sports fan	Contrasena::lessons::u7_v1 Contrasena::sections::las_personas	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_29.mp3
el atleta/la atleta	athlete	Contrasena::lessons::u7_v1 Contrasena::sections::las_personas	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_30.mp3
el corredor/la corredora	runner	Contrasena::lessons::u7_v1 Contrasena::sections::las_personas	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_31.mp3
el entrenador/la entrenadora	trainer	Contrasena::lessons::u7_v1 Contrasena::sections::las_personas	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_32.mp3
el equipo	team	Contrasena::lessons::u7_v1 Contrasena::sections::las_personas	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_33.mp3
el jugador/la jugadora	player	Contrasena::lessons::u7_v1 Contrasena::sections::las_personas	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_34.mp3
el campo	field / course	Contrasena::lessons::u7_v1 Contrasena::sections::el_equipo_los_lugares_y_los_eventos	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_36.mp3
cancha / la cancha de tenis / la cancha de fútbol	court, field / tennis court / soccer field	Contrasena::lessons::u7_v1 Contrasena::sections::el_equipo_los_lugares_y_los_eventos	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_37.mp3
la carrera	race	Contrasena::lessons::u7_v1 Contrasena::sections::el_equipo_los_lugares_y_los_eventos	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_38.mp3
la competición/la competencia	competition	Contrasena::lessons::u7_v1 Contrasena::sections::el_equipo_los_lugares_y_los_eventos	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_39.mp3
el estadio	stadium	Contrasena::lessons::u7_v1 Contrasena::sections::el_equipo_los_lugares_y_los_eventos	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_40.mp3
la liga	league	Contrasena::lessons::u7_v1 Contrasena::sections::el_equipo_los_lugares_y_los_eventos	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_41.mp3
el partido	game/match	Contrasena::lessons::u7_v1 Contrasena::sections::el_equipo_los_lugares_y_los_eventos	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_42.mp3
la pelota	ball	Contrasena::lessons::u7_v1 Contrasena::sections::el_equipo_los_lugares_y_los_eventos	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_43.mp3
las pesas	weights	Contrasena::lessons::u7_v1 Contrasena::sections::el_equipo_los_lugares_y_los_eventos	https://s3.us-east-2.amazonaws.com/contrasena/audio/u7/7_1_44.mp3
