#separator:tab
#html:false
#tags column:3
algo	something, anything	Contrasena::lessons::u12_v2 Contrasena::sections::palabras_indefinidas	https://s3.us-east-2.amazonaws.com/contrasena/audio/u12/12_2_2.mp3
alguien	someone, somebody, anybody	Contrasena::lessons::u12_v2 Contrasena::sections::palabras_indefinidas	https://s3.us-east-2.amazonaws.com/contrasena/audio/u12/12_2_3.mp3
algún, alguno, algunos / alguna, algunas	some, any	Contrasena::lessons::u12_v2 Contrasena::sections::palabras_indefinidas	https://s3.us-east-2.amazonaws.com/contrasena/audio/u12/12_2_4.mp3
alguna vez	sometimes, ever, once	Contrasena::lessons::u12_v2 Contrasena::sections::palabras_indefinidas	https://s3.us-east-2.amazonaws.com/contrasena/audio/u12/12_2_5.mp3
o... o	(either…) or	Contrasena::lessons::u12_v2 Contrasena::sections::palabras_indefinidas	https://s3.us-east-2.amazonaws.com/contrasena/audio/u12/12_2_6.mp3
siempre	always	Contrasena::lessons::u12_v2 Contrasena::sections::palabras_indefinidas	https://s3.us-east-2.amazonaws.com/contrasena/audio/u12/12_2_7.mp3
también	also, too	Contrasena::lessons::u12_v2 Contrasena::sections::palabras_indefinidas	https://s3.us-east-2.amazonaws.com/contrasena/audio/u12/12_2_8.mp3
nada	Nothing, not anything	Contrasena::lessons::u12_v2 Contrasena::sections::palabras_negativas	https://s3.us-east-2.amazonaws.com/contrasena/audio/u12/12_2_10.mp3
nadie	no one, nobody, not anyone	Contrasena::lessons::u12_v2 Contrasena::sections::palabras_negativas	https://s3.us-east-2.amazonaws.com/contrasena/audio/u12/12_2_11.mp3
ningún, ninguno / ninguna	no, none, not any	Contrasena::lessons::u12_v2 Contrasena::sections::palabras_negativas	https://s3.us-east-2.amazonaws.com/contrasena/audio/u12/12_2_12.mp3
ni… ni	neither … nor	Contrasena::lessons::u12_v2 Contrasena::sections::palabras_negativas	https://s3.us-east-2.amazonaws.com/contrasena/audio/u12/12_2_13.mp3
nunca	never, not ever	Contrasena::lessons::u12_v2 Contrasena::sections::palabras_negativas	https://s3.us-east-2.amazonaws.com/contrasena/audio/u12/12_2_14.mp3
tampoco	not either, neither	Contrasena::lessons::u12_v2 Contrasena::sections::palabras_negativas	https://s3.us-east-2.amazonaws.com/contrasena/audio/u12/12_2_15.mp3
