#separator:tab
#html:false
#tags column:3
el cirujano / la cirujana	surgeon	Contrasena::lessons::u10_v1 Contrasena::sections::la_salud	
el consejero / la consejera	counselor	Contrasena::lessons::u10_v1 Contrasena::sections::la_salud	
el dentista / la dentista	dentist	Contrasena::lessons::u10_v1 Contrasena::sections::la_salud	
el director del hospital / la directora del hospital	hospital director	Contrasena::lessons::u10_v1 Contrasena::sections::la_salud	
el enfermero / la enfermera	nurse	Contrasena::lessons::u10_v1 Contrasena::sections::la_salud	
el farmacéutico / la farmacéutica	pharmacist	Contrasena::lessons::u10_v1 Contrasena::sections::la_salud	
el fisioterapeuta / la fisioterapeuta	physical therapist	Contrasena::lessons::u10_v1 Contrasena::sections::la_salud	
el médico / la médica	doctor (of medicine)	Contrasena::lessons::u10_v1 Contrasena::sections::la_salud	
el psicólogo / la psicóloga	psychologist	Contrasena::lessons::u10_v1 Contrasena::sections::la_salud	
cuidar	to care for	Contrasena::lessons::u10_v1 Contrasena::sections::la_salud	
curar	to cure	Contrasena::lessons::u10_v1 Contrasena::sections::la_salud	
preparar / preparar medicamentos	to prepare / to prepare medication	Contrasena::lessons::u10_v1 Contrasena::sections::la_salud	
el asesor financiero / la asesora financiera	financial advisor	Contrasena::lessons::u10_v1 Contrasena::sections::los_negocios	
el contador / la contadora	accountant	Contrasena::lessons::u10_v1 Contrasena::sections::los_negocios	
el ejecutivo / la ejecutiva	executive	Contrasena::lessons::u10_v1 Contrasena::sections::los_negocios	
el gerente / la gerente	manager	Contrasena::lessons::u10_v1 Contrasena::sections::los_negocios	
aconsejar	to advise	Contrasena::lessons::u10_v1 Contrasena::sections::los_negocios	
administrar / administrar una compañía	to run, to manage / to manage a company	Contrasena::lessons::u10_v1 Contrasena::sections::los_negocios	
comprar	to buy	Contrasena::lessons::u10_v1 Contrasena::sections::los_negocios	
ganar dinero	to earn money	Contrasena::lessons::u10_v1 Contrasena::sections::los_negocios	
invertir	to invest	Contrasena::lessons::u10_v1 Contrasena::sections::los_negocios	
vender	to sell	Contrasena::lessons::u10_v1 Contrasena::sections::los_negocios	
el arquitecto/la arquitecta	architect	Contrasena::lessons::u10_v1 Contrasena::sections::los_negocios	
el científico/la científica	scientist	Contrasena::lessons::u10_v1 Contrasena::sections::los_negocios	
el diseñador/la diseñadora	designer	Contrasena::lessons::u10_v1 Contrasena::sections::los_negocios	
el ecologista/la ecologista	ecologist	Contrasena::lessons::u10_v1 Contrasena::sections::los_negocios	
el ingeniero/la ingeniera	engineer	Contrasena::lessons::u10_v1 Contrasena::sections::los_negocios	
el programador de computación/la programadora	computer programmer	Contrasena::lessons::u10_v1 Contrasena::sections::los_negocios	
analizar	analyze	Contrasena::lessons::u10_v1 Contrasena::sections::los_negocios	
diseñar	design	Contrasena::lessons::u10_v1 Contrasena::sections::los_negocios	
programar	program	Contrasena::lessons::u10_v1 Contrasena::sections::los_negocios	
