#separator:tab
#html:false
#tags column:3
el investigador / la investigadora	researcher	Contrasena::lessons::u10_v2 Contrasena::sections::la_educacion	
el maestro / la maestra	teacher	Contrasena::lessons::u10_v2 Contrasena::sections::la_educacion	
el profesor / la profesora	professor	Contrasena::lessons::u10_v2 Contrasena::sections::la_educacion	
educar	to educate	Contrasena::lessons::u10_v2 Contrasena::sections::la_educacion	
enseñar	to teach	Contrasena::lessons::u10_v2 Contrasena::sections::la_educacion	
investigar	to research	Contrasena::lessons::u10_v2 Contrasena::sections::la_educacion	
mejorar / mejorar la sociedad	to make better / to make society better	Contrasena::lessons::u10_v2 Contrasena::sections::la_educacion	
motivar	to motivate	Contrasena::lessons::u10_v2 Contrasena::sections::la_educacion	
el abogado / la abogada	lawyer	Contrasena::lessons::u10_v2 Contrasena::sections::la_seguridad_publica_y_la_ley	
el agente federal / la agente federal	federal agent	Contrasena::lessons::u10_v2 Contrasena::sections::la_seguridad_publica_y_la_ley	
el defensor público / la defensora pública	public defender	Contrasena::lessons::u10_v2 Contrasena::sections::la_seguridad_publica_y_la_ley	
el fiscal / la fiscal	prosecutor	Contrasena::lessons::u10_v2 Contrasena::sections::la_seguridad_publica_y_la_ley	
las fuerzas armadas	armed forces	Contrasena::lessons::u10_v2 Contrasena::sections::la_seguridad_publica_y_la_ley	
el juez / la jueza	judge	Contrasena::lessons::u10_v2 Contrasena::sections::la_seguridad_publica_y_la_ley	
la ley	law	Contrasena::lessons::u10_v2 Contrasena::sections::la_seguridad_publica_y_la_ley	
el militar / la militar	soldier	Contrasena::lessons::u10_v2 Contrasena::sections::la_seguridad_publica_y_la_ley	
el policía / la policía	police officer	Contrasena::lessons::u10_v2 Contrasena::sections::la_seguridad_publica_y_la_ley	
defender (e>ie)	to defend	Contrasena::lessons::u10_v2 Contrasena::sections::la_seguridad_publica_y_la_ley	
proteger	to protect	Contrasena::lessons::u10_v2 Contrasena::sections::la_seguridad_publica_y_la_ley	
el consultor / la consultora / el consultor de	consultant / marketing consultant	Contrasena::lessons::u10_v2 Contrasena::sections::los_medios_de_comunicacion	
el periodista / la periodista	journalist	Contrasena::lessons::u10_v2 Contrasena::sections::los_medios_de_comunicacion	
el publicista / la publicista	advertising agent	Contrasena::lessons::u10_v2 Contrasena::sections::los_medios_de_comunicacion	
el relacionista público / la relacionista	public relations agent	Contrasena::lessons::u10_v2 Contrasena::sections::los_medios_de_comunicacion	
convencer	to convince	Contrasena::lessons::u10_v2 Contrasena::sections::los_medios_de_comunicacion	
informar	to inform	Contrasena::lessons::u10_v2 Contrasena::sections::los_medios_de_comunicacion	
