#separator:tab
#html:false
#tags column:3
0	cero	Contrasena::lessons::u1_01_03v2 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u1/1_2_1.mp3
1	uno	Contrasena::lessons::u1_01_03v2 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u1/1_2_2.mp3
2	dos	Contrasena::lessons::u1_01_03v2 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u1/1_2_3.mp3
3	tres	Contrasena::lessons::u1_01_03v2 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u1/1_2_4.mp3
4	cuatro	Contrasena::lessons::u1_01_03v2 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u1/1_2_5.mp3
5	cinco	Contrasena::lessons::u1_01_03v2 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u1/1_2_6.mp3
6	seis	Contrasena::lessons::u1_01_03v2 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u1/1_2_7.mp3
7	siete	Contrasena::lessons::u1_01_03v2 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u1/1_2_8.mp3
8	ocho	Contrasena::lessons::u1_01_03v2 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u1/1_2_9.mp3
9	nueve	Contrasena::lessons::u1_01_03v2 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u1/1_2_10.mp3
10	diez	Contrasena::lessons::u1_01_03v2 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u1/1_2_11.mp3
11	once	Contrasena::lessons::u1_01_03v2 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u1/1_2_12.mp3
