#separator:tab
#html:false
#tags column:3
el apartamento	the apartment	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_2.mp3
el aula (virtual)	the (virtual) classroom	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_3.mp3
la biblioteca	the library	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_4.mp3
la cafetería	the cafeteria	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_5.mp3
el campus (virtual)	the (virtual) campus	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_6.mp3
la casa	the house	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_7.mp3
el centro estudiantil	the student center	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_8.mp3
la clase	the class	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_9.mp3
el/la compañero/a de cuarto	the roommate	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_10.mp3
el cuarto	the room	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_11.mp3
el edificio	the building	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_12.mp3
el gimnasio	the gym	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_13.mp3
el laboratorio	the lab	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_14.mp3
la librería	the bookstore	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_15.mp3
la oficina	the office	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_16.mp3
la residencia estudiantil	the dormitory	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_17.mp3
la reunión	the meeting	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_18.mp3
el salón de clase	the classroom	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_19.mp3
la tienda (virtual)	the (online) store	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_20.mp3
En el salón de clase	In the classroom	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_21.mp3
el bolígrafo, la pluma	the pen	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_22.mp3
el cuaderno	the notebook	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_23.mp3
el escritorio	the desk	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_24.mp3
la fecha de entrega	the due date	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_25.mp3
el foro	the discussion board	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_26.mp3
el libro de texto	the textbook	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_27.mp3
la nota	the grade	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_28.mp3
la computadora (portátil)	the laptop	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_29.mp3
la prueba	the quiz	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_30.mp3
la tableta	the tablet	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_31.mp3
Para describir a personas y lugares	To describe people and places	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_32.mp3
administrativo/a	administrative	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_33.mp3
cerca de	close to	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_34.mp3
desordenado/a	disorganized/messy	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_35.mp3
lejos de	far from	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_36.mp3
limpio/a	clean	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_37.mp3
moderno/a	modern	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_38.mp3
nuevo/a	new	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_39.mp3
ordenado/a	organized/neat	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_40.mp3
sucio/a	dirty	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_41.mp3
último/a	last (most recent)	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_42.mp3
universitario/a	university-	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_43.mp3
viejo/a	old	Contrasena::lessons::u4_04_01 Contrasena::sections::unknown	https://s3.us-east-2.amazonaws.com/contrasena/audio/u4/4_1_44.mp3
