#separator:tab
#html:false
#tags column:3
preparando	preparar — present participle (gerund)	Contrasena::lessons::grammar_10_1 Contrasena::sections::preparar	
defendiendo	defender — present participle (gerund)	Contrasena::lessons::grammar_10_1 Contrasena::sections::defender	
asistiendo	asistir — present participle (gerund)	Contrasena::lessons::grammar_10_1 Contrasena::sections::asistir	
cayendo	caer — present participle (gerund)	Contrasena::lessons::grammar_10_1 Contrasena::sections::caer	
leyendo	leer — present participle (gerund)	Contrasena::lessons::grammar_10_1 Contrasena::sections::leer	
diciendo	decir — present participle (gerund)	Contrasena::lessons::grammar_10_1 Contrasena::sections::decir	
viniendo	venir — present participle (gerund)	Contrasena::lessons::grammar_10_1 Contrasena::sections::venir	
durmiendo	dormir — present participle (gerund)	Contrasena::lessons::grammar_10_1 Contrasena::sections::dormir	
