#separator:tab
#html:false
#tags column:3
di	decir — tú command (affirmative)	Contrasena::lessons::grammar_7_2 Contrasena::sections::decir	
haz	hacer — tú command (affirmative)	Contrasena::lessons::grammar_7_2 Contrasena::sections::hacer	
ve	ir — tú command (affirmative)	Contrasena::lessons::grammar_7_2 Contrasena::sections::ir	
pon	poner — tú command (affirmative)	Contrasena::lessons::grammar_7_2 Contrasena::sections::poner	
sal	salir — tú command (affirmative)	Contrasena::lessons::grammar_7_2 Contrasena::sections::salir	
sé	ser — tú command (affirmative)	Contrasena::lessons::grammar_7_2 Contrasena::sections::ser	
ten	tener — tú command (affirmative)	Contrasena::lessons::grammar_7_2 Contrasena::sections::tener	
ven	venir — tú command (affirmative)	Contrasena::lessons::grammar_7_2 Contrasena::sections::venir	
