#separator:tab
#html:false
#tags column:3
montaba	Montar — yo (I)	Contrasena::lessons::grammar_12_1 Contrasena::sections::montar	
montabas	Montar — tú (you, informal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::montar	
montaba	Montar — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::montar	
montábamos	Montar — nosotros/nosotras (we)	Contrasena::lessons::grammar_12_1 Contrasena::sections::montar	
montabais	Montar — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::montar	
montaban	Montar — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::montar	
protegía	Proteger — yo (I)	Contrasena::lessons::grammar_12_1 Contrasena::sections::proteger	
protegías	Proteger — tú (you, informal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::proteger	
protegía	Proteger — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::proteger	
protegíamos	Proteger — nosotros/nosotras (we)	Contrasena::lessons::grammar_12_1 Contrasena::sections::proteger	
protegíais	Proteger — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::proteger	
protegían	Proteger — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::proteger	
escribía	Escribir — yo (I)	Contrasena::lessons::grammar_12_1 Contrasena::sections::escribir	
escribías	Escribir — tú (you, informal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::escribir	
escribía	Escribir — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::escribir	
escribíamos	Escribir — nosotros/nosotras (we)	Contrasena::lessons::grammar_12_1 Contrasena::sections::escribir	
escribíais	Escribir — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::escribir	
escribían	Escribir — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::escribir	
iba	ir — yo (I)	Contrasena::lessons::grammar_12_1 Contrasena::sections::ir	
era	ser — yo (I)	Contrasena::lessons::grammar_12_1 Contrasena::sections::ser	
veía	ver — yo (I)	Contrasena::lessons::grammar_12_1 Contrasena::sections::ver	
ibas	ir — tú (you, informal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::ir	
eras	ser — tú (you, informal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::ser	
veías	ver — tú (you, informal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::ver	
iba	ir — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::ir	
era	ser — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::ser	
veía	ver — él/ella; Ud. (he/she/it; you, formal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::ver	
íbamos	ir — nosotros/nosotras (we)	Contrasena::lessons::grammar_12_1 Contrasena::sections::ir	
éramos	ser — nosotros/nosotras (we)	Contrasena::lessons::grammar_12_1 Contrasena::sections::ser	
veíamos	ver — nosotros/nosotras (we)	Contrasena::lessons::grammar_12_1 Contrasena::sections::ver	
ibais	ir — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::ir	
erais	ser — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::ser	
veíais	ver — vosotros/vosotras (you all, informal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::ver	
iban	ir — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::ir	
eran	ser — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::ser	
veían	ver — ellos/ellas; Uds. (they; you, formal)	Contrasena::lessons::grammar_12_1 Contrasena::sections::ver	
